config,latency(ms),power(mWatt)
layer-width_56-height_56-cin_16-cout_12-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_4,0.07343975,0.02526600814608023
layer-width_56-height_56-cin_16-cout_12-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_8,0.07344375,0.025366782357711525
layer-width_56-height_56-cin_16-cout_16-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_2,0.07343875,0.02542894187913558
layer-width_56-height_56-cin_16-cout_16-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_4,0.07344149999999999,0.025496091975042556
layer-width_56-height_56-cin_16-cout_16-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_8,0.07344675,0.0256304643228261
layer-width_56-height_56-cin_16-cout_16-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_2,0.07343875,0.02542894187913558
layer-width_56-height_56-cin_16-cout_16-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_4,0.07344149999999999,0.025496091975042556
layer-width_56-height_56-cin_16-cout_16-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_8,0.07344675,0.0256304643228261
layer-width_56-height_56-cin_16-cout_16-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_2,0.07343875,0.02542894187913558
layer-width_56-height_56-cin_16-cout_16-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_4,0.07344149999999999,0.025496091975042556
layer-width_56-height_56-cin_16-cout_16-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_8,0.07344675,0.0256304643228261
layer-width_56-height_56-cin_16-cout_20-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_2,0.07343975,0.025642261025203377
layer-width_56-height_56-cin_16-cout_20-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_4,0.073443125,0.02572620862502896
layer-width_56-height_56-cin_16-cout_20-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_8,0.07344975000000001,0.025894124748156114
layer-width_56-height_56-cin_16-cout_20-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_2,0.07343975,0.025642261025203377
layer-width_56-height_56-cin_16-cout_20-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_4,0.073443125,0.02572620862502896
layer-width_56-height_56-cin_16-cout_20-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_8,0.07344975000000001,0.025894124748156114
layer-width_56-height_56-cin_16-cout_20-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_2,0.07343975,0.025642261025203377
layer-width_56-height_56-cin_16-cout_20-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_4,0.073443125,0.02572620862502896
layer-width_56-height_56-cin_16-cout_20-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_8,0.07344975000000001,0.025894124748156114
layer-width_56-height_56-cin_16-cout_24-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_2,0.07344075,0.025855574361985573
layer-width_56-height_56-cin_16-cout_24-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_4,0.07344475,0.02595631509213486
layer-width_56-height_56-cin_16-cout_24-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_8,0.07345275000000001,0.026157763636340797
layer-width_56-height_56-cin_16-cout_24-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_2,0.07344075,0.025855574361985573
layer-width_56-height_56-cin_16-cout_24-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_4,0.07344475,0.02595631509213486
